id,state,user,employee_open,user_closed,employee_merged,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
2722,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2723,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2726,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2743,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2746,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2754,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
276,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2773,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2774,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2783,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2785,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2787,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2815,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2817,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2825,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2827,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2847,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2866,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2868,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2869,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2870,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2875,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2886,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2887,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
29,closed,zcbenz,employee,zcbenz,employee,5,0,null,null,null,"(1,30]",NA,NA,NA
2900,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2905,closed,joshaber,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2920,closed,zcbenz,employee,zcbenz,employee,15,0,null,null,null,"(1,30]",NA,NA,NA
2939,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2948,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2950,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2974,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2976,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2980,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2982,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
2997,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3015,closed,joshaber,employee,zcbenz,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
3030,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3040,closed,theojulienne,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3092,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3108,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
3153,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
