id,state,user_opened,employee_open,user_closed,employee_closed,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
531,closed,nathansobo,employee,nathansobo,employee,0,1,0,0,0,NA,NA,NA,NA
515,closed,kevinsawicki,employee,zcbenz,employee,23,1,0,0,23,"(1,30]",NA,NA,"(1,30]"
513,closed,zcbenz,employee,zcbenz,employee,0,1,0,0,0,NA,NA,NA,NA
511,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
508,closed,nathansobo,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
507,closed,nathansobo,employee,zcbenz,employee,32,0,null,null,null,"(30,180]",NA,NA,NA
502,closed,kevinsawicki,employee,kevinsawicki,employee,1,2,1,0,0,"(0,1]","(0,1]",NA,NA
501,closed,kevinsawicki,employee,zcbenz,employee,2,2,88,2,88,"(1,30]","(30,180]","(1,30]","(30,180]"
486,closed,kevinsawicki,employee,zcbenz,employee,22,1,0,5,16,"(1,30]",NA,"(1,30]","(1,30]"
485,closed,kevinsawicki,employee,zcbenz,employee,33,2,31,1,0,"(30,180]","(30,180]","(0,1]",NA
473,closed,kevinsawicki,employee,zcbenz,employee,16,1,0,0,16,"(1,30]",NA,NA,"(1,30]"
431,closed,nathansobo,employee,nathansobo,employee,0,1,0,0,0,NA,NA,NA,NA
428,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
398,closed,kevinsawicki,employee,zcbenz,employee,0,1,0,348,347,NA,NA,"(180,365]","(180,365]"
394,closed,zcbenz,employee,zcbenz,employee,39,0,null,null,null,"(30,180]",NA,NA,NA
393,closed,zcbenz,employee,zcbenz,employee,60,1,0,60,0,"(30,180]",NA,"(30,180]",NA
391,closed,zcbenz,employee,zcbenz,employee,40,0,null,null,null,"(30,180]",NA,NA,NA
380,closed,kevinsawicki,employee,zcbenz,employee,0,2,0,0,0,NA,NA,NA,NA
373,closed,kevinsawicki,employee,zcbenz,employee,8,2,6,0,2,"(1,30]","(1,30]",NA,"(1,30]"
372,closed,kevinsawicki,employee,zcbenz,employee,0,3,0,0,0,NA,NA,NA,NA
367,closed,maddox,employee,maddox,employee,0,1,0,0,0,NA,NA,NA,NA
364,closed,zcbenz,employee,zcbenz,employee,4,0,null,null,null,"(1,30]",NA,NA,NA
292,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
281,closed,nathansobo,employee,zcbenz,employee,82,7,80,2,0,"(30,180]","(30,180]","(1,30]",NA
280,closed,zcbenz,employee,zcbenz,employee,14,1,0,0,13,"(1,30]",NA,NA,"(1,30]"
278,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
275,closed,BinaryMuse,employee,zcbenz,employee,73,4,72,0,0,"(30,180]","(30,180]",NA,NA
269,closed,zcbenz,employee,zcbenz,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
265,closed,zcbenz,employee,zcbenz,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
259,open,zcbenz,employee,null,volunter,null,14,1309,2,null,NA,"(365,Inf]","(1,30]",NA
244,closed,zcbenz,employee,zcbenz,employee,16,1,0,16,0,"(1,30]",NA,"(1,30]",NA
241,closed,zcbenz,employee,zcbenz,employee,542,4,542,0,0,"(365,Inf]","(365,Inf]",NA,NA
236,closed,kevinsawicki,employee,zcbenz,employee,3,1,0,0,3,"(1,30]",NA,NA,"(1,30]"
233,closed,probablycorey,employee,zcbenz,employee,1,2,0,0,0,"(0,1]",NA,NA,NA
230,closed,zcbenz,employee,codebytere,employee,1379,29,1240,139,0,"(365,Inf]","(365,Inf]","(30,180]",NA
229,closed,probablycorey,employee,zcbenz,employee,2,3,630,2,630,"(1,30]","(365,Inf]","(1,30]","(365,Inf]"
228,open,mcolyer,employee,zcbenz,employee,null,71,1383,0,null,NA,"(365,Inf]",NA,NA
227,closed,probablycorey,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
226,closed,kevinsawicki,employee,zcbenz,employee,0,1,0,0,0,NA,NA,NA,NA
224,closed,nathansobo,employee,zcbenz,employee,128,3,125,3,0,"(30,180]","(30,180]","(1,30]",NA
222,closed,nathansobo,employee,nathansobo,employee,332,3,328,4,0,"(180,365]","(180,365]","(1,30]",NA
221,closed,kevinsawicki,employee,zcbenz,employee,2,1,0,0,2,"(1,30]",NA,NA,"(1,30]"
220,closed,nathansobo,employee,zcbenz,employee,2,1,0,2,0,"(1,30]",NA,"(1,30]",NA
219,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
218,closed,kevinsawicki,employee,zcbenz,employee,58,11,1149,0,1091,"(30,180]","(365,Inf]",NA,"(365,Inf]"
217,closed,zcbenz,employee,zcbenz,employee,0,2,0,0,0,NA,NA,NA,NA
212,closed,nathansobo,employee,zcbenz,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
210,closed,nathansobo,employee,zcbenz,employee,131,1,0,0,131,"(30,180]",NA,NA,"(30,180]"
209,closed,probablycorey,employee,zcbenz,employee,131,4,130,0,0,"(30,180]","(30,180]",NA,NA
207,closed,zcbenz,employee,zcbenz,employee,9,0,null,null,null,"(1,30]",NA,NA,NA
206,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
204,closed,nathansobo,employee,zcbenz,employee,59,1,0,59,0,"(30,180]",NA,"(30,180]",NA
203,closed,probablycorey,employee,nathansobo,employee,5,1,0,0,4,"(1,30]",NA,NA,"(1,30]"
201,closed,ptoomey3,employee,zcbenz,employee,0,5,1,0,1,NA,"(0,1]",NA,"(0,1]"
200,closed,zcbenz,employee,zcbenz,employee,5,3,1,0,3,"(1,30]","(0,1]",NA,"(1,30]"
199,closed,probablycorey,employee,zcbenz,employee,0,4,0,0,0,NA,NA,NA,NA
198,closed,ptoomey3,employee,zcbenz,employee,0,4,0,0,0,NA,NA,NA,NA
197,closed,ptoomey3,employee,ptoomey3,employee,0,3,0,0,0,NA,NA,NA,NA
194,closed,probablycorey,employee,zcbenz,employee,1,4,544,1,544,"(0,1]","(365,Inf]","(0,1]","(365,Inf]"
193,closed,ptoomey3,employee,zcbenz,employee,0,7,1,0,0,NA,"(0,1]",NA,NA
192,closed,probablycorey,employee,zcbenz,employee,0,3,0,0,0,NA,NA,NA,NA
190,closed,zcbenz,employee,zcbenz,employee,159,6,94,64,0,"(30,180]","(30,180]","(30,180]",NA
187,closed,zcbenz,employee,zcbenz,employee,64,1,0,64,0,"(30,180]",NA,"(30,180]",NA
186,closed,probablycorey,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
185,closed,nathansobo,employee,nathansobo,employee,0,3,0,0,0,NA,NA,NA,NA
184,closed,kevinsawicki,employee,kevinsawicki,employee,0,1,0,0,0,NA,NA,NA,NA
183,closed,mastahyeti,employee,mastahyeti,employee,11,5,280,11,280,"(1,30]","(180,365]","(1,30]","(180,365]"
182,closed,zcbenz,employee,zcbenz,employee,498,0,null,null,null,"(365,Inf]",NA,NA,NA
181,closed,zcbenz,employee,zcbenz,employee,42,1,0,0,42,"(30,180]",NA,NA,"(30,180]"
179,closed,nathansobo,employee,zcbenz,employee,146,3,0,0,145,"(30,180]",NA,NA,"(30,180]"
177,closed,kevinsawicki,employee,zcbenz,employee,4,5,5,0,0,"(1,30]","(1,30]",NA,NA
175,closed,probablycorey,employee,zcbenz,employee,2,3,3,0,1,"(1,30]","(1,30]",NA,"(0,1]"
174,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
171,closed,probablycorey,employee,zcbenz,employee,0,5,260,0,260,NA,"(180,365]",NA,"(180,365]"
170,closed,probablycorey,employee,zcbenz,employee,2,3,1,0,0,"(1,30]","(0,1]",NA,NA
169,closed,nathansobo,employee,zcbenz,employee,814,59,814,0,0,"(365,Inf]","(365,Inf]",NA,NA
168,closed,nathansobo,employee,zcbenz,employee,3,8,33,1,31,"(1,30]","(30,180]","(0,1]","(30,180]"
167,closed,zcbenz,employee,zcbenz,employee,325,1,0,325,0,"(180,365]",NA,"(180,365]",NA
165,closed,zcbenz,employee,zcbenz,employee,416,1,0,416,0,"(365,Inf]",NA,"(365,Inf]",NA
164,closed,zcbenz,employee,zcbenz,employee,329,1,0,329,0,"(180,365]",NA,"(180,365]",NA
163,closed,zcbenz,employee,zcbenz,employee,60,0,null,null,null,"(30,180]",NA,NA,NA
161,closed,zcbenz,employee,zcbenz,employee,182,0,null,null,null,"(180,365]",NA,NA,NA
160,closed,probablycorey,employee,zcbenz,employee,15,6,15,0,0,"(1,30]","(1,30]",NA,NA
159,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
158,closed,kevinsawicki,employee,kevinsawicki,employee,193,6,193,0,0,"(180,365]","(180,365]",NA,NA
157,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
156,closed,zcbenz,employee,zcbenz,employee,2,0,null,null,null,"(1,30]",NA,NA,NA
153,closed,zcbenz,employee,zcbenz,employee,1,2,0,0,0,"(0,1]",NA,NA,NA
150,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
145,closed,zcbenz,employee,zcbenz,employee,11,0,null,null,null,"(1,30]",NA,NA,NA
143,closed,kevinsawicki,employee,zcbenz,employee,15,2,11,3,0,"(1,30]","(1,30]","(1,30]",NA
141,closed,kevinsawicki,employee,zcbenz,employee,68,2,63,4,0,"(30,180]","(30,180]","(1,30]",NA
138,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
137,closed,zcbenz,employee,zcbenz,employee,0,1,0,0,0,NA,NA,NA,NA
135,closed,kevinsawicki,employee,zcbenz,employee,0,4,0,0,0,NA,NA,NA,NA
134,closed,kevinsawicki,employee,zcbenz,employee,0,3,847,0,847,NA,"(365,Inf]",NA,"(365,Inf]"
132,closed,keithduncan,employee,zcbenz,employee,23,3,1,0,21,"(1,30]","(0,1]",NA,"(1,30]"
131,closed,nathansobo,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
129,closed,nathansobo,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
127,closed,probablycorey,employee,zcbenz,employee,1,9,488,0,487,"(0,1]","(365,Inf]",NA,"(365,Inf]"
126,closed,nathansobo,employee,zcbenz,employee,36,1,0,36,0,"(30,180]",NA,"(30,180]",NA
123,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null,NA,NA,NA,NA
121,closed,probablycorey,employee,probablycorey,employee,3,6,3,0,0,"(1,30]","(1,30]",NA,NA
120,closed,kevinsawicki,employee,zcbenz,employee,0,2,0,0,0,NA,NA,NA,NA
118,closed,mcolyer,employee,zcbenz,employee,134,1,0,134,0,"(30,180]",NA,"(30,180]",NA
117,closed,nathansobo,employee,zcbenz,employee,7,5,7,0,0,"(1,30]","(1,30]",NA,NA
116,closed,nathansobo,employee,zcbenz,employee,7,6,7,0,0,"(1,30]","(1,30]",NA,NA
115,closed,mcolyer,employee,mcolyer,employee,2,2,0,2,0,"(1,30]",NA,"(1,30]",NA
114,closed,mcolyer,employee,zcbenz,employee,1,0,null,null,null,"(0,1]",NA,NA,NA
113,closed,kevinsawicki,employee,zcbenz,employee,0,1,0,0,0,NA,NA,NA,NA
112,closed,mcolyer,employee,zcbenz,employee,0,5,2,0,1,NA,"(1,30]",NA,"(0,1]"
