user,hash,date,site_admin,day_of_week,period_of_day
technicalpickles,fbf01cd6a14baf5ebdd9845a59a89e0a1aec5b25,2015-03-13T20:29:23Z,TRUE,sexta-feira,"(13,14]"
technicalpickles,5e8f1ff24f85f7fd84c037e3079f816e5030fe20,2016-01-20T03:47:10Z,TRUE,quarta-feira,"(19,20]"
technicalpickles,280ffa7c92be3315462eba76ff6a93e22648759b,2015-03-12T23:12:05Z,TRUE,quinta-feira,"(16,17]"
technicalpickles,d3868a7ad0122e78047913662f4435704f4b8811,2014-11-01T17:17:51Z,TRUE,sábado,"(10,11]"
technicalpickles,a4b497e9060046a03756ca369e9ac280796339d9,2015-06-09T02:17:09Z,TRUE,terça-feira,"(19,20]"
technicalpickles,e5a18aa132f0bb1f9e991d2f226ce356946868b1,2015-03-23T15:56:18Z,TRUE,segunda-feira,"(8,9]"
technicalpickles,d3ed84590250a04c6af37928e35fb92ea2bbc19d,2015-08-24T15:21:04Z,TRUE,segunda-feira,"(8,9]"
technicalpickles,3f59d624cf38aa0d9abe0ad1501e07a8b7f699e1,2013-12-17T02:48:41Z,TRUE,terça-feira,"(18,19]"
technicalpickles,ed66e4578ef3df655c05925dbe7c6a791c5ed4be,2015-03-13T21:19:16Z,TRUE,sexta-feira,"(14,15]"
technicalpickles,003a11815a92ef54c5a28238e0f9d6d976919ab8,2015-03-13T17:22:35Z,TRUE,sexta-feira,"(10,11]"
technicalpickles,fa1626fb8ce3972bc15b008b749d612de75955cd,2013-08-16T14:13:54Z,TRUE,sexta-feira,"(7,8]"
technicalpickles,204e443786dd69431c36205c418837307834c9d6,2015-06-10T22:14:44Z,TRUE,quarta-feira,"(15,16]"
technicalpickles,c022fcbff21ddda8cecc631897a693954146dd35,2013-04-23T14:59:35Z,TRUE,terça-feira,"(7,8]"
technicalpickles,5700358c32813a871e99a28b156fb3c5d6ceb123,2013-03-09T19:14:10Z,TRUE,sábado,"(11,12]"
technicalpickles,9d15d0ad4a3c8577bf6afe73004832f209d70166,2015-03-09T02:02:29Z,TRUE,segunda-feira,"(19,20]"
technicalpickles,6e1b67f7a125e3c72fc0d6a1b0b281b350b6d3d3,2014-04-20T22:32:00Z,TRUE,domingo,"(15,16]"
technicalpickles,12d642e8b9ce09fbfe25f97358c4aa7f91cbbfab,2014-09-11T03:39:13Z,TRUE,quinta-feira,"(20,21]"
technicalpickles,3f00e8fe97a193ab3a906d3d340e6b7fa12c3503,2013-12-31T19:26:05Z,TRUE,terça-feira,"(11,12]"
technicalpickles,ff14d1e505c3fd3afd9820a8bdb33e2122d3f112,2014-07-24T15:06:50Z,TRUE,quinta-feira,"(8,9]"
technicalpickles,e0df0d4904179e6ee28a3e4cf742fbab8e10aa9b,2014-12-22T22:19:24Z,TRUE,segunda-feira,"(14,15]"
technicalpickles,1cadeff1e8682d26ae4bcb947ca1dd5e97385bc1,2013-07-07T16:42:21Z,TRUE,domingo,"(9,10]"
technicalpickles,e4ae5603eb94a8d1851e427232bd45e966fef584,2013-04-23T15:14:17Z,TRUE,terça-feira,"(8,9]"
technicalpickles,831c5e3797d8e882ee3749b2325dfe73bfa3da4e,2012-09-08T19:25:30Z,TRUE,sábado,"(12,13]"
technicalpickles,b5b6e0530a06b51f2d7cb9a9a1b9f127ca315ff5,2015-01-23T18:04:18Z,TRUE,sexta-feira,"(10,11]"
technicalpickles,f051f27a6f2a463993516f962124ce751a721aa1,2013-08-15T14:17:41Z,TRUE,quinta-feira,"(7,8]"
technicalpickles,77def0ac2d448509d1905c71b31f89caa5537607,2013-07-19T14:51:56Z,TRUE,sexta-feira,"(7,8]"
technicalpickles,d7be6914173b40cca44955f53a9d826ce5666150,2015-05-26T17:17:57Z,TRUE,terça-feira,"(10,11]"
technicalpickles,72543b3b557ee4d2d0ac04db6b34ed89804483bb,2014-08-22T01:26:40Z,TRUE,sexta-feira,"(18,19]"
technicalpickles,da8777f3766fc4cc4886e47de6b4f32cfb3f120c,2013-07-21T01:18:50Z,TRUE,domingo,"(18,19]"
technicalpickles,ad35e6930da9cf3f6edf45f4c1d713a84b125021,2014-12-19T23:02:07Z,TRUE,sexta-feira,"(15,16]"
technicalpickles,a19d51f42955fe02a2ba9e05d38bb1a39a0e0260,2013-07-31T17:20:28Z,TRUE,quarta-feira,"(10,11]"
technicalpickles,b35bb6f0589b189129ce4e4612049c681bdbda81,2015-03-13T19:56:22Z,TRUE,sexta-feira,"(12,13]"
technicalpickles,7b9a495f8e25130721d305c3e42b786b11d94239,2015-06-08T15:52:56Z,TRUE,segunda-feira,"(8,9]"
technicalpickles,5e0c98e949199a4cd14aed2c045fe548f29e2e7d,2014-10-23T02:16:39Z,TRUE,quinta-feira,"(19,20]"
technicalpickles,a6927015ae8fb25279b5b59b6651cd7cb2539c11,2014-10-29T15:28:37Z,TRUE,quarta-feira,"(8,9]"
technicalpickles,994d33a37e5e33ace1dfd81cf1c0bf6d189e2864,2015-01-30T23:20:58Z,TRUE,sexta-feira,"(15,16]"
technicalpickles,ec7ad69fc7bb2131b74719a798f6b0d3be6a8942,2014-10-20T11:38:00Z,TRUE,segunda-feira,"(4,5]"
technicalpickles,69d49db0f76de080805b2959ef265eb7f1d19539,2014-10-16T21:20:15Z,TRUE,quinta-feira,"(14,15]"
technicalpickles,a92d55a2b80eb942bdd3d289234d26cd0c486ece,2014-05-15T00:52:33Z,TRUE,quinta-feira,"(17,18]"
technicalpickles,e1f67ccc5ca38a1e78cbcf53a744f3f9da78a286,2014-12-19T23:35:48Z,TRUE,sexta-feira,"(15,16]"
technicalpickles,27aa3d78c1c9c9ae1cd3da4e7a22ac3c047d43e8,2013-07-18T04:46:30Z,TRUE,quinta-feira,"(21,22]"
technicalpickles,04b97eada0018bfc049d88f47b91bce15e54f1bc,2014-05-15T13:47:44Z,TRUE,quinta-feira,"(6,7]"
technicalpickles,cca93dfe41d99ac464c55b546942fe3ea10ddaa0,2014-11-07T17:30:16Z,TRUE,sexta-feira,"(9,10]"
technicalpickles,1cad06722097e8229fb6ac59d9a842b627d44719,2013-07-24T03:04:35Z,TRUE,quarta-feira,"(20,21]"
technicalpickles,0f37b55d7abc9bceee02c85383f480b5b00e015b,2016-02-26T19:50:30Z,TRUE,sexta-feira,"(11,12]"
technicalpickles,a9f42006c792f42cd1ee46d1e6e0cc945c21458b,2013-04-23T15:44:49Z,TRUE,terça-feira,"(8,9]"
technicalpickles,7f5f208ae13007fbd83f9937521a52e2fac753b4,2014-09-11T03:36:44Z,TRUE,quinta-feira,"(20,21]"
technicalpickles,bf91539f52ca0c8c1dad14fb317ffdcb2ba6b8a6,2013-07-19T20:08:47Z,TRUE,sexta-feira,"(13,14]"
