id,state,user,employee_open,user_closed,employee_merged,days_opened,number_of_comments,days_between_first_and_last_comment,days_first_comment_after_creation,days_last_comment_before_closed,days_opened_group,days_between_first_and_last_comment_group,days_first_comment_after_creation_group,days_last_comment_before_closed_group
14891,open,yoonhyung,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
14905,closed,matthewwithanm,volunter,BinaryMuse,employee,0,0,null,null,null,NA,NA,NA,NA
14914,closed,yubaoquan,volunter,null,volunter,175,0,null,null,null,"(30,180]",NA,NA,NA
14931,closed,UziTech,volunter,nathansobo,employee,192,2,0,192,0,"(180,365]",NA,"(180,365]",NA
14997,closed,damieng,volunter,damieng,volunter,1,0,null,null,null,"(0,1]",NA,NA,NA
15003,closed,damieng,volunter,damieng,volunter,5,1,0,4,0,"(1,30]",NA,"(1,30]",NA
15004,closed,damieng,volunter,damieng,volunter,0,0,null,null,null,NA,NA,NA,NA
15007,closed,damieng,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15008,closed,50Wliu,volunter,50Wliu,volunter,1,0,null,null,null,"(0,1]",NA,NA,NA
15011,closed,mehcode,volunter,ungb,volunter,0,0,null,null,null,NA,NA,NA,NA
15012,open,mehcode,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
15014,closed,damieng,volunter,damieng,volunter,0,0,null,null,null,NA,NA,NA,NA
15027,closed,jackHedaya,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15035,closed,Aaron09,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15036,open,Aaron09,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
15040,closed,joy1305,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15043,closed,damieng,volunter,damieng,volunter,0,0,null,null,null,NA,NA,NA,NA
15045,closed,karljang,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15046,open,karljang,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
15054,closed,damieng,volunter,damieng,volunter,0,0,null,null,null,NA,NA,NA,NA
15059,closed,damieng,volunter,damieng,volunter,0,0,null,null,null,NA,NA,NA,NA
15066,closed,daxlab,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15077,closed,the0neyouseek,volunter,null,volunter,8,0,null,null,null,"(1,30]",NA,NA,NA
1508,closed,mojombo,volunter,mojombo,volunter,1,3,0,0,1,"(0,1]",NA,NA,"(0,1]"
15080,closed,p-e-w,volunter,ungb,volunter,205,0,null,null,null,"(180,365]",NA,NA,NA
15081,closed,mortenpi,volunter,damieng,volunter,146,7,68,11,67,"(30,180]","(30,180]","(1,30]","(30,180]"
15082,closed,t9md,volunter,maxbrunsfeld,employee,0,0,null,null,null,NA,NA,NA,NA
1509,closed,mojombo,volunter,nathansobo,employee,0,0,null,null,null,NA,NA,NA,NA
15096,open,Ingramz,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
15127,open,t9md,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
15132,closed,listentodella,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15133,closed,mrnonz,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15138,closed,alanyee,volunter,50Wliu,volunter,1,0,null,null,null,"(0,1]",NA,NA,NA
15139,closed,ungb,volunter,null,volunter,0,0,null,null,null,NA,NA,NA,NA
15149,open,jakob-bebop,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
15160,closed,segevfiner,volunter,null,volunter,14,0,null,null,null,"(1,30]",NA,NA,NA
15163,closed,wbinnssmith,volunter,ungb,volunter,27,0,null,null,null,"(1,30]",NA,NA,NA
15165,closed,segevfiner,volunter,daviwil,employee,264,0,null,null,null,"(180,365]",NA,NA,NA
15175,open,ajiteshr7,volunter,null,volunter,null,0,null,null,null,NA,NA,NA,NA
15179,closed,Kreozot,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
15186,closed,Ben3eeE,volunter,ungb,volunter,1,0,null,null,null,"(0,1]",NA,NA,NA
15193,closed,probonopd,volunter,null,volunter,66,1,0,66,0,"(30,180]",NA,"(30,180]",NA
15198,closed,mrnonz,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
15214,closed,50Wliu,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
15224,closed,50Wliu,volunter,50Wliu,volunter,0,0,null,null,null,NA,NA,NA,NA
