id, state, user, employee_open, user_closed, employee_merged, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
5653,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5658,closed,danhp,volunter,zcbenz,employee,1,4,0,0,0
5659,closed,danhp,volunter,jlord,volunter,0,0,null,null,null
5662,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5664,closed,paulcbetts,volunter,kevinsawicki,employee,0,0,null,null,null
5666,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5668,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5669,closed,felixrieseberg,volunter,zcbenz,employee,0,2,0,0,0
567,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5670,closed,paulcbetts,volunter,kevinsawicki,employee,3,0,null,null,null
5671,closed,leethomas,volunter,null,volunter,1,0,null,null,null
5674,closed,MathijsvVelde,volunter,null,volunter,0,0,null,null,null
5681,closed,kevinsawicki,employee,kevinsawicki,employee,0,1,0,0,0
5682,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5683,closed,kevinsawicki,employee,zcbenz,employee,1,2,0,0,0
5684,closed,kevinsawicki,employee,zcbenz,employee,1,9,0,0,0
5687,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5688,closed,enlight,volunter,zcbenz,employee,0,0,null,null,null
5689,closed,cdaringe,volunter,zcbenz,employee,0,0,null,null,null
5693,closed,ashsel88,volunter,null,volunter,0,0,null,null,null
5700,closed,felixrieseberg,volunter,zcbenz,employee,0,0,null,null,null
5701,closed,danhp,volunter,zcbenz,employee,0,0,null,null,null
5710,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5711,closed,zcbenz,employee,zcbenz,employee,3,8,0,0,3
5717,closed,felixrieseberg,volunter,null,volunter,1,0,null,null,null
5718,closed,felixrieseberg,volunter,zcbenz,employee,3,0,null,null,null
572,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5720,closed,danhp,volunter,zcbenz,employee,3,1,0,0,3
5725,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null
5726,closed,danhp,volunter,zcbenz,employee,3,0,null,null,null
573,closed,zcbenz,employee,zcbenz,employee,0,0,null,null,null
5734,closed,danhp,volunter,zcbenz,employee,2,0,null,null,null
5736,closed,kevinsawicki,employee,zcbenz,employee,0,0,null,null,null
5737,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null
5738,closed,kevinsawicki,employee,kevinsawicki,employee,0,0,null,null,null
