id, state, user_opened, employee_open, user_closed, employee_closed, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
7,closed,kneath,volunter,atmos,volunter,41,3,1,40,0
4,closed,atmos,volunter,atmos,volunter,0,0,null,null,null
3,closed,benburkert,volunter,atmos,volunter,5,1,0,0,5
2,closed,kneath,volunter,atmos,volunter,0,2,0,0,0
1,closed,holman,volunter,holman,volunter,1,8,1,0,0
1318,closed,ParthKolekar,volunter,bkeepers,employee,0,2,0,0,0
1310,closed,Akhilesh-Anb,volunter,bkeepers,employee,3,4,3,0,0
1308,closed,makadeli,volunter,technicalpickles,employee,0,1,0,0,0
1307,closed,jason-riddle,volunter,bkeepers,employee,17,6,16,0,0
1305,closed,VictorQueiroz,volunter,stale[bot],bot,142,3,92,43,7
1302,closed,codecat-9,volunter,codecat-9,volunter,0,0,null,null,null
1301,closed,rhoml,volunter,mose,volunter,62,3,62,0,0
1300,closed,sirtow,volunter,mose,volunter,73,1,0,70,2
1299,closed,lecodet,volunter,stale[bot],bot,238,10,179,51,7
1298,closed,jadjay,volunter,stale[bot],bot,177,6,294,75,191
1297,closed,rqc,volunter,stale[bot],bot,237,9,149,80,7
1296,closed,shotah,volunter,mose,volunter,86,1,0,86,0
1295,closed,aphawk,volunter,bkeepers,employee,86,2,28,57,0
1294,closed,itomaldonado,volunter,mose,volunter,88,2,0,88,0
1293,closed,shubham-srivastava-goku,volunter,bkeepers,employee,79,3,11,68,0
1292,closed,tuyendt6,volunter,tuyendt6,volunter,107,4,106,0,0
1291,closed,maxpert,volunter,maxpert,volunter,32,2,19,12,0
1288,closed,zyf0330,volunter,zyf0330,volunter,0,0,null,null,null
1287,closed,Viper702,volunter,stale[bot],bot,210,2,93,109,7
1285,closed,zyf0330,volunter,mose,volunter,122,6,4,118,0
1283,closed,mnp,volunter,mose,volunter,122,3,98,23,0
1282,closed,GGYaX,volunter,mose,volunter,122,7,139,97,114
1281,closed,Fire5,volunter,mose,volunter,133,1,0,133,0
1280,closed,shahp00ja,volunter,stale[bot],bot,244,6,346,2,104
1279,closed,javiersuweijie,volunter,stale[bot],bot,163,1,0,155,8
1278,closed,steowens,volunter,stale[bot],bot,214,3,203,4,7
1277,closed,krishna1990fis,volunter,mose,volunter,143,2,136,6,0
1271,closed,hbrls,volunter,bkeepers,employee,151,3,0,10,140
1270,closed,willqad,volunter,bkeepers,employee,151,2,141,10,0
1269,closed,TraGicCode,volunter,bkeepers,employee,152,4,411,11,270
1262,closed,plaffous,volunter,plaffous,volunter,0,0,null,null,null
