user, site_admin, forward_engineering_percent, corrective_engineering_percent, reengineering_percent, uncategorized_percent, management_percent
leo,false,0.17857142857142858,0.0,0.25,0.35714285714285715,0.21428571428571427
kevinsawicki,false,0.11860867904702445,0.044319468946480076,0.16116850881298234,0.3603596695449069,0.31554367364860625
aaronshaf,false,0.0,0.0,1.0,0.0,0.0
jussi-kalliokoski,false,0.0,0.0,1.0,0.0,0.0
drewchandler,false,0.0,1.0,0.0,0.0,0.0
pinak,false,0.0,0.0,0.0,0.0,1.0
philschatz,false,0.17857142857142858,0.25,0.25,0.21428571428571427,0.10714285714285714
philipfweiss,false,0.0,0.3,0.0,0.0,0.7
zcbenz,false,0.08404329225931478,0.08967421112289298,0.21236608285494898,0.36237613806720537,0.25154027569563786
abahgat,false,1.0,0.0,0.0,0.0,0.0
Spice-King,false,0.0,1.0,0.0,0.0,0.0
pritambaral,false,0.0,0.13333333333333333,0.06666666666666667,0.8,0.0
ruthgrace,false,0.0,0.0,0.2,0.0,0.8
kevinnathan,false,0.15665103944689113,0.030259980110811196,0.22815740872282994,0.47539896765639056,0.10953260406307715
dsandstrom,false,0.5333333333333333,0.2,0.26666666666666666,0.0,0.0
mhw,false,0.0,1.0,0.0,0.0,0.0
erikhakansson,false,0.05454545454545454,0.09090909090909091,0.4727272727272727,0.2,0.18181818181818182
livelazily,false,0.0,1.0,0.0,0.0,0.0
kierans,false,0.0,1.0,0.0,0.0,0.0
liuderchi,false,1.0,0.0,0.0,0.0,0.0
coliff,false,0.0,0.0,0.2,0.8,0.0
suyash,false,0.0,0.5,0.3333333333333333,0.16666666666666666,0.0
warrenpnz,false,0.0,0.0,0.0,1.0,0.0
annthurium,false,0.2909090909090909,0.14545454545454545,0.03636363636363636,0.23636363636363636,0.2909090909090909
flububb,false,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333
deprint,false,0.047619047619047616,0.19047619047619047,0.09523809523809523,0.6666666666666666,0.0
tobiasvl,false,0.0,1.0,0.0,0.0,0.0
suda,false,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
hkdobrev,false,0.0,0.26666666666666666,0.7333333333333333,0.0,0.0
ultramiraculous,false,0.0,1.0,0.0,0.0,0.0
TimvdLippe,false,1.0,0.0,0.0,0.0,0.0
Kreozot,false,0.0,1.0,0.0,0.0,0.0
mpkh,false,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
